N, Time
0, 0.2912482023239136
10, 0.7676902055740357
20, 0.7136785984039307
30, 0.5047781944274903
40, 0.762207818031311
50, 0.6059023857116699
60, 0.8591598033905029
70, 2.835664391517639
80, 1.2567025899887085
90, 1.2891255855560302
100, 0.7076380014419555
110, 0.6302276134490967
120, 0.6364366054534912
130, 0.6979049921035767
140, 2.4173967838287354
150, 0.7822086095809937
160, 1.2245326042175293
170, 0.9303653955459594
180, 1.0237551927566528
190, 1.2721570014953614
200, 0.7809919834136962
210, 0.6304304122924804
220, 0.7081701993942261
230, 1.3562347888946533
240, 0.8898315906524659
250, 0.911299204826355
260, 1.1354723930358888
270, 0.7411252021789551
280, 0.7605109930038452
290, 0.8817291975021362
300, 0.9260761976242066
310, 0.7042194128036499
320, 0.9553442001342773
330, 0.8314464092254639
340, 0.9518994092941284
350, 0.8529632091522217
360, 1.4815746068954467
370, 1.0500854015350343
380, 0.9899410009384155
390, 1.16804940700531
400, 1.0888610124588012
410, 1.1416703939437867
420, 1.0285662174224854
430, 1.1926984071731568
440, 1.0694486141204833
450, 1.2217624187469482
460, 1.2131991863250733
470, 1.319564199447632
480, 1.8982768058776855
490, 1.93853018283844
500, 1.5933990001678466
510, 1.2749255895614624
520, 1.4217293977737426
530, 1.3756205797195435
540, 1.3141341924667358
550, 1.3644684076309204
560, 1.2630477905273438
570, 1.3685166120529175
580, 1.389152193069458
590, 1.4559558153152465
600, 1.4288621902465821
610, 2.8399800062179565
620, 1.5130125999450683
630, 1.527454400062561
640, 1.4943681955337524
650, 1.5813235998153687
660, 1.6047045946121217
670, 1.623251986503601
680, 1.576214599609375
690, 1.6013642072677612
700, 1.6791752099990844
710, 1.852558398246765
720, 1.742958402633667
730, 1.7425342082977295
740, 1.7825060129165649
750, 1.9976927995681764
760, 1.813270592689514
770, 1.850979208946228
780, 1.8742658138275146
790, 1.9166831970214844
800, 1.911355209350586
810, 1.868413019180298
820, 1.904605793952942
830, 1.97706081867218
840, 2.0511790037155153
850, 2.0559858083724976
860, 2.138472008705139
870, 2.1784854173660277
880, 2.154837203025818
890, 2.1722723960876467
900, 2.236615800857544
910, 2.222409796714783
920, 2.654118013381958
930, 3.053544783592224
940, 2.5742599964141846
950, 2.8510030031204225
960, 2.600409007072449
970, 2.361661195755005
980, 2.441003608703613
990, 2.432071590423584
1000, 2.419819211959839
1100, 2.676512622833252
1200, 2.727984809875488
1300, 3.07462100982666
1400, 3.767130208015442
1500, 3.547918200492859
1600, 3.7795934200286867
1700, 4.12057900428772
1800, 4.272224187850952
1900, 4.50939199924469
2000, 4.97740740776062
2100, 5.036235594749451
2200, 5.1108780145645145
2300, 5.347073793411255
2400, 5.582890200614929
2500, 5.952266001701355
2600, 6.039043188095093
2700, 6.588809180259704
2800, 6.45070321559906
2900, 6.679469799995422
3000, 7.00383780002594
